id,longitude,latitude,time,B2,B3,B4,B8,B8A,B11,B12,timestamp
20191110T222551_20191110T222546_T59GMM,170.89195130552548,-43.99916820582472,1573424907937,6908.0,6832.0,6932.0,7740.0,7305.0,2892,2765,2019-11-11 10:28:27
20191113T223711_20191113T223711_T59GMM,170.89195130552548,-43.99916820582472,1573684704169,80.0,73.0,18.0,1.0,1.0,125,113,2019-11-14 10:38:24
20191115T222539_20191115T222542_T59GMM,170.89195130552548,-43.99916820582472,1573856904018,130.0,136.0,115.0,175.0,131.0,199,156,2019-11-16 10:28:24
20191118T223709_20191118T223707_T59GMM,170.89195130552548,-43.99916820582472,1574116700023,5148.0,4892.0,4612.0,5668.0,5643.0,2313,2301,2019-11-19 10:38:20
20191120T222551_20191120T222545_T59GMM,170.89195130552548,-43.99916820582472,1574288906512,836.0,1382.0,1606.0,3868.0,3370.0,2044,1729,2019-11-21 10:28:26
20191123T223711_20191123T223709_T59GMM,170.89195130552548,-43.99916820582472,1574548702559,1.0,50.0,41.0,29.0,65.0,197,155,2019-11-24 10:38:22
20191128T223709_20191128T223704_T59GMM,170.89195130552548,-43.99916820582472,1574980697673,13496.0,12424.0,11736.0,11344.0,10783.0,6432,4455,2019-11-29 10:38:17
20191130T222541_20191130T222543_T59GMM,170.89195130552548,-43.99916820582472,1575152904476,5912.0,5848.0,5724.0,6764.0,6486.0,2822,3060,2019-12-01 10:28:24
20191203T223711_20191203T223707_T59GMM,170.89195130552548,-43.99916820582472,1575412700312,11432.0,10368.0,9632.0,9496.0,8799.0,3675,4097,2019-12-04 10:38:20
20191205T222539_20191205T222538_T59GMM,170.89195130552548,-43.99916820582472,1575584899482,7420.0,7000.0,6764.0,7592.0,7564.0,6254,5705,2019-12-06 10:28:19
20191208T223709_20191208T223703_T59GMM,170.89195130552548,-43.99916820582472,1575844696284,509.0,695.0,295.0,17.0,,101,93,2019-12-09 10:38:16
20191210T222541_20191210T222540_T59GMM,170.89195130552548,-43.99916820582472,1576016901799,6988.0,6424.0,6080.0,6820.0,6461.0,3407,3248,2019-12-11 10:28:21
20191213T223701_20191213T223708_T59GMM,170.89195130552548,-43.99916820582472,1576276697490,2370.0,2460.0,2228.0,4276.0,4103.0,2799,2244,2019-12-14 10:38:17
20191215T222539_20191215T222538_T59GMM,170.89195130552548,-43.99916820582472,1576448900176,7628.0,7164.0,6896.0,7452.0,7075.0,2898,2451,2019-12-16 10:28:20
20191218T223709_20191218T223703_T59GMM,170.89195130552548,-43.99916820582472,1576708696941,3780.0,3692.0,3528.0,5064.0,4664.0,2938,2694,2019-12-19 10:38:16
20191220T222541_20191220T222549_T59GMM,170.89195130552548,-43.99916820582472,1576880899537,88.0,173.0,59.0,1.0,1.0,110,111,2019-12-21 10:28:19
20191223T223701_20191223T223714_T59GMM,170.89195130552548,-43.99916820582472,1577140696399,10576.0,9872.0,9432.0,9416.0,9167.0,6491,5247,2019-12-24 10:38:16
20191225T222539_20191225T222539_T59GMM,170.89195130552548,-43.99916820582472,1577312900599,3716.0,3604.0,3428.0,4624.0,4634.0,3164,2890,2019-12-26 10:28:20
20191228T223709_20191228T223704_T59GMM,170.89195130552548,-43.99916820582472,1577572697211,1.0,20.0,1.0,1.0,,73,77,2019-12-29 10:38:17
20191230T222541_20191230T222539_T59GMM,170.89195130552548,-43.99916820582472,1577744900210,3.0,33.0,1.0,1.0,1.0,85,95,2019-12-31 10:28:20
20200102T223701_20200102T223703_T59GMM,170.89195130552548,-43.99916820582472,1578004696572,335.0,387.0,282.0,180.0,287.0,317,290,2020-01-03 10:38:16
20200104T222539_20200104T222539_T59GMM,170.89195130552548,-43.99916820582472,1578176900439,9976.0,9240.0,8592.0,9168.0,8515.0,6731,5922,2020-01-05 10:28:20
20200107T223709_20200107T223703_T59GMM,170.89195130552548,-43.99916820582472,1578436696901,2664.0,2674.0,2622.0,4140.0,4303.0,2559,2355,2020-01-08 10:38:16
20200109T222541_20200109T222538_T59GMM,170.89195130552548,-43.99916820582472,1578608899884,1426.0,1444.0,1312.0,2218.0,1964.0,1430,1134,2020-01-10 10:28:19
20200112T223701_20200112T223703_T59GMM,170.89195130552548,-43.99916820582472,1578868696349,305.0,363.0,182.0,88.0,116.0,245,177,2020-01-13 10:38:16
20200114T222539_20200114T222538_T59GMM,170.89195130552548,-43.99916820582472,1579040899755,5156.0,5068.0,4984.0,6260.0,5934.0,5008,4283,2020-01-15 10:28:19
20200117T223659_20200117T223702_T59GMM,170.89195130552548,-43.99916820582472,1579300696024,277.0,318.0,216.0,289.0,316.0,323,247,2020-01-18 10:38:16
20200119T222541_20200119T222538_T59GMM,170.89195130552548,-43.99916820582472,1579472899219,1.0,47.0,1.0,1.0,1.0,170,147,2020-01-20 10:28:19
20200122T223701_20200122T223702_T59GMM,170.89195130552548,-43.99916820582472,1579732695540,2236.0,2116.0,1992.0,2142.0,2984.0,2587,2295,2020-01-23 10:38:15
20200124T222539_20200124T222537_T59GMM,170.89195130552548,-43.99916820582472,1579904898522,5116.0,4908.0,4624.0,5324.0,5184.0,3287,3313,2020-01-25 10:28:18
