Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),WD_Rel,WS_Rel,WindRun_Rel,Rain_Rel,Tdry_Rel,Twet_Rel,Tmax_Rel,Tmin_Rel,Tgmin_Rel,ET05_Rel,ET10_Rel,ET20_Rel,ET30_Rel,ET100_Rel,Pmsl_Rel,Pstn_Rel,Sun_Rel,Rad_Rel
Fairlie Aws,20170312:0000,142,2.4,113,7.2,208,11.0,9.2,8.8,94.8,10.5,9.1,-,-,-,-,-,-,1006.3,959.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170313:0000,322,0.6,111,5.7,187,5.2,7.8,7.4,94.2,9.8,7.3,-,-,-,-,-,-,1014.1,966.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170314:0000,179,1.9,137,8.8,172,0.2,8.8,8.2,91.1,15.0,7.5,-,-,-,-,-,-,1022.7,974.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170315:0000,277,1.0,127,5.7,148,0.0,7.7,7.3,94.5,18.8,6.0,-,-,-,-,-,-,1029.9,981.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170316:0000,301,2.0,135,5.1,199,0.0,13.7,11.2,72.4,23.7,7.7,-,-,-,-,-,-,1027.6,980.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170317:0000,334,3.1,259,11.3,282,0.2,18.4,11.7,39.3,29.0,12.2,-,-,-,-,-,-,1021.0,974.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170318:0000,135,3.8,253,9.3,215,0.2,10.5,9.5,86.8,10.5,10.5,-,-,-,-,-,-,1028.1,980.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170319:0000,267,1.4,124,6.7,191,0.0,9.0,8.5,93.0,23.4,2.8,-,-,-,-,-,-,1026.4,978.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170320:0000,79,2.8,258,14.4,219,0.2,12.3,10.9,83.2,27.7,9.0,-,-,-,-,-,-,1013.3,966.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170321:0000,30,1.4,79,8.8,201,3.4,11.9,11.3,93.0,12.0,11.5,-,-,-,-,-,-,1015.3,968.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
